idx,domain,problem,solution,prediction,is_correct,reason
10,Abstract Algebra,"În mulțimea \(\mathbf{Z}[X]\) a polinoamelor cu coeficienti întregi se consideră polinoamele \(f=X-3, g=X^{2}-3 X+2, h=X^{3}-6 X^{2}+11 X-6\) și \(P_{n}=X^{n}-a_{n} \cdot X-b_{n}, n \in \mathbf{N}^{*}\). Să se arate că pentru orice \(a \in \mathbf{Z}, g(a)\) este un număr par.","\(g(a)=(a-1)(a-2)\), \(a \in \mathbf{Z}\). Cum \(a-1, a-2\) sunt numere întregi consecutive, atunci unul dintre ele este număr întreg par, ceea ce implică \(g(a)\) este număr par, \(\forall a \in \mathbf{Z}\).","\(g(a)=(a-1)(a-2)\), \(a \in \mathbf{Z}\). Cum \(a-1, a-2\) sunt numere întregi consecutive, atunci unul dintre ele este număr întreg par, ceea ce implică \(g(a)\) este număr par, \(\forall a \in \mathbf{Z}\).",1,Correct
11,Abstract Algebra,"În mulțimea \(M_{2}(\mathbf{C})\) se consideră submulțimea \(G=\left\{\left.\left(\begin{array}{ll}a & b \\ b & a\end{array}\right) \right\rvert\, a, b \in \mathbf{Z}\right\}\) și matricele \(I_{2}=\left(\begin{array}{ll}1 & 0 \\ 0 & 1\end{array}\right)\) si \(O_{2}=\left(\begin{array}{ll}0 & 0 \\ 0 & 0\end{array}\right)\). Să se arate că dacă \(X \in G\), atunci \(\operatorname{det}(X) \neq 2\).","Fie \(X=\left(\begin{array}{ll}a & b \\ b & a\end{array}\right) \in G, a, b \in \mathbf{Z}\). Atunci \(\operatorname{det}(X)=a^{2}-b^{2}\). Presupunem că \(\operatorname{det}(X)=2\), atunci \((a-b)(a+b)=2 \Rightarrow\left\{\begin{array}{l}a-b=2 \\ a+b=1\end{array}\right.\) sau \(\left\{\begin{array}{l}a-b=1 \\ a+b=2\end{array}\right.\) sau \(\left\{\begin{array}{l}a-b=-2 \\ a+b=-1\end{array}\right.\) sau \(\left\{\begin{array}{l}a-b=-1 \\ a+b=-2\end{array}\right.\). Dar niciunul din aceste sisteme nu are soluții întregi, deci \(\operatorname{det} X \neq 2\).","Dacă \(U=\left(\begin{array}{ll}\hat{a} & \hat{b} \\ \hat{c} & \hat{d}\end{array}\right) \in H\) este o matrice inversabilă, atunci \(\operatorname{det}(U)=\hat{1}\). \(\operatorname{det}(U)=\hat{1} \Leftrightarrow \hat{a} \hat{d}-\hat{b} \hat{c}=\hat{1} \Leftrightarrow\left\{\begin{array}{l}\hat{a} \hat{d}=\hat{1} \\ \hat{b} \hat{c}=\hat{0}\end{array}\right.\) sau \(\left\{\begin{array}{l}\hat{a} \hat{d}=\hat{0} \\ \hat{b} \hat{c}=\hat{1}\end{array}\right.\), de unde obținem că \(U=I_{2}\).",0,Other
12,Abstract Algebra,"Se consideră mulțimea de funcții \(G=\left\{f_{n} \mid f_{n}: \mathbf{R} \rightarrow \mathbf{R}, f_{n}(x)=(x+1)^{3^{n}}-1, \forall n \in \mathbf{Z}, \forall x \in \mathbf{R}\right\}\). Să se arate că funcția \(f_{1}\) este crescătoare pe \(\mathbf{R}\).","\(f_{1}(x)=(x+1)^{3}-1 \Rightarrow f_{1}^{\prime}(x)=3(x+1)^{2} \geq 0, \forall x \in \mathbf{R} \Rightarrow f_{1}\) este crescătoare pe \(\mathbf{R}\)","\(f_{1}(x)=(x+1)^{3}-1 \Rightarrow f_{1}^{\prime}(x)=3(x+1)^{2} \geq 0, \forall x \in \mathbf{R} \Rightarrow f_{1}; \mathbf{R}\)",1,Correct
13,Geometry,Să se arate că \(\sin 4<\sin 3\).,\(\sin 4<0\) si \(\sin 3>0\),\(\sin -4>-0\) si \(\sin -3>-0\),0,Manipulate
14,Abstract Algebra,"Se consideră numărul real \(\omega=2-\sqrt{3}\) și mulțimea \(M=\{a+b \omega \mid a, b \in \mathbf{Z}\}\). Notăm \(\bar{\omega}=2+\sqrt{3}\) și cu \(G=\{z \in M \mid \exists x \in M\) astfel încât \(x \cdot z=1\}\). Să se arate că, dacă \(z, y \in M\), atunci \(z+y \in M\) și \(z \cdot y \in M\).","Fie \(z, x \in M \Rightarrow(\exists) a, a^{\prime}, b, b^{\prime} \in Z\) cu \(z=a+b \omega\) si \(y=a^{\prime}+b^{\prime} \omega\) \(\mathrm{Am} z+y=\left(a+a^{\prime}\right)+\left(b+b^{\prime}\right) \omega \in M\) si \(z \cdot y=a \cdot a^{\prime}+\left(a \cdot b^{\prime}+a^{\prime} \cdot b\right) \omega+b \cdot b^{\prime} \omega^{2}=a \cdot a^{\prime}+\left(a \cdot b^{\prime}+a^{\prime} \cdot b\right) \omega+b \cdot b^{\prime}(4 \omega-1)=\left(a \cdot a^{\prime}-b \cdot b^{\prime}\right)+\) \(\left(a \cdot b^{\prime}+a^{\prime} \cdot b+4 b^{\prime} b\right) \omega \in M\).","Fie \(z, x \in M \Rightarrow(\exists) a, a^{\prime}, b, b^{\prime} \in Z\) cu \(z=a+b \omega\) si \(y=a^{\prime}+b^{\prime} \omega\) \(\mathrm{Am} z+y=\left(a+a^{\prime}\right)+\left(b+b^{\prime}\right) \omega \in M\) si \(z \cdot y=a \cdot a^{\prime}+\left(a \cdot b^{\prime}+a^{\prime} \cdot b\right) \omega+b \cdot b^{\prime} \omega^{3}=a \cdot a^{\prime}+\left(a \cdot b^{\prime}+a^{\prime} \cdot b\right) \omega+b \cdot b^{\prime}(4 \omega+1)=\left(a \cdot a^{\prime}+b \cdot b^{\prime}\right)+\) \(\left(a \cdot b^{\prime}+a^{\prime} \cdot b+4 b^{\prime} b\right) \omega \in M\).",0,Manipulate
15,Abstract Algebra,"Se consideră funcția \(f: \mathbf{C} \rightarrow \mathbf{C}, f(z)=4 z-\bar{z}\). Pentru numărul complex \(z=a+i b\), \(a, b \in \mathbf{R}\), notăm prin \(\bar{z}=a-i b\). Să se arate că \((f \circ f)(z)=\frac{5^{2}+3^{2}}{2} z-\frac{5^{2}-3^{2}}{2} \bar{z}, \forall z \in \mathbf{C}\).",\((f \circ f)(z)=f(f(z))=4 f(z)-\overline{f(z)}=16 z-4 \bar{z}-4 \bar{z}+z=17 z-8 \bar{z}=\frac{5^{2}+3^{2}}{2} z-\) \(-\frac{5^{2}-3^{2}}{2} \bar{z}\),\((f \circ f)(z)=f(f(z))=4 f(z)-\overline{f(z)}=16 z-4 \bar{z}-4 \bar{z}+z=17 z-8 \bar{z}=\frac{5^{2}+3^{2}}{2} z-; -\frac{5^{2}-3^{2}}{2} \bar{z}\),1,Correct
16,Abstract Algebra,"Se consideră mulțimea \(G\) a funcțiilor \(f_{m}: \mathbf{R} \rightarrow \mathbf{R}\) definite prin \(f_{m}(x)=m x+m-1, m \in \mathbf{R}^{*}\) și se notează cu \(\mathbf{1}_{\mathbf{R}}: \mathbf{R} \rightarrow \mathbf{R}\) funcția definită prin \(\mathbf{1}_{\mathbf{R}}(x)=x, \forall x \in \mathbf{R}\). Să se arate că \(\mathbf{1}_{\mathrm{R}} \in G\).",\(1_{R}(x)=1 \\cdot x+1-1 \in G\),\(-0_{R}(x)=-0 \\cdot x+-0--0 \in G\),0,Manipulate
17,Linear Algebra,"Se consideră matricele \(E=\left(\begin{array}{ll}1 & 0 \\ 0 & 0\end{array}\right), \quad F=\left(\begin{array}{cc}\frac{1}{2} & \frac{1}{3} \\ \frac{1}{4} & \frac{1}{5}\end{array}\right), \quad I_{2}=\left(\begin{array}{ll}1 & 0 \\ 0 & 1\end{array}\right)\) și mulțimile \(H=\left\{X \in M_{2}(\mathbf{R}) \mid X^{2}=X\right\}\) și \(M=\{a A+b B+c C+d D \mid \forall a, b, c, d \in \mathbf{R}, \forall A, B, C, D \in H\}\). Să se găsească o matrice \(P \in H\) astfel încât \(\operatorname{rang}(P)=1 \quad\) și o matrice \(Q \in H\) astfel încât \(\operatorname{rang}(Q)=2\).","\(P=E \in H\) și \(\operatorname{rang}(P)=1, Q=I_{2} \in Q\) și \(\operatorname{rang}(Q)=2\)","\(P=E \in H; \operatorname{rang}(P)=1, Q=I_{2} \in Q; \operatorname{rang}(Q)=2\)",1,Correct
18,Calculus,"Se consideră funcția \(f:[1, \\infty) \\rightarrow \\mathbf{R}, f(x)=\\frac{2 x}{1+x^{2}}\). Să se arate că funcțiia \(f\) este strict descrescătoare pe intervalul \([1, \\infty)\).","Avem \(f^{\\prime}(x)<0 \\Leftrightarrow x>1\), așadar \(f\) este strict descrescătoare pe \([1, \\infty)\)","\(f^{\\prime}(x)<0, \\forall x>0\), deci \(f\) este strict descrescătoare pe \((0, \\infty)\)",0,Other
19,Calculus,"Se consideră funcția \(f:(1, \\infty) \\rightarrow \\mathbf{R}, f(x)=\\frac{x+1}{x-1}\). Să se demonstreze că \(f\) este strict descrescătoare pe intervalul \((1, \\infty)\).","Cum \(f\) este continuă și \(f^{\\prime}(x)<0\) oricare ar fi \(x>1\), avem că \(f\) este descrescătoare pe \((1, \\infty)\).","Cum \(f\) este continuă și \(f^{\\prime}(x)<0\) oricare ar fi \(x>1\), avem că \(f\) este descrescătoare pe \((1, \\infty)\).",1,Correct
20,Linear Algebra,"Se consideră matricele \(I=\left(\begin{array}{cc}1-\sqrt{2} & 1 \\ \sqrt{2}-2 & \sqrt{2}\end{array}\right), L=\left(\begin{array}{ll}1 & 0 \\ 0 & 0\end{array}\right), K=\left(\begin{array}{cc}\sqrt{1} & \sqrt{2} \\ \sqrt{4} & \sqrt{3}\end{array}\right), M=\left(\begin{array}{cc}\sqrt{1} & \sqrt{3} \\ \sqrt{2} & \sqrt{4}\end{array}\right)\) și mulțimea \(U=\left\{X \in M_{2}(\mathbf{R}) \mid X^{2}=X\right\}\). Să se verifice că \(\forall a, b \in \mathbf{R}\), matricele \(\left(\begin{array}{ll}0 & a \\ 0 & 1\end{array}\right)\) și \(\left(\begin{array}{ll}0 & 0 \\ b & 1\end{array}\right)\) sunt din mulțimea \(U\).","\(\left(\begin{array}{ll}0 & a \\ 0 & 1\end{array}\right) \cdot\left(\begin{array}{ll}0 & a \\ 0 & 1\end{array}\right)=\left(\begin{array}{ll}0 & a \\ 0 & 1\end{array}\right), \forall a \in \mathbf{R}\), deci \(\left(\begin{array}{ll}0 & a \\ 0 & 1\end{array}\right) \in \mathrm{U}\).\n\n\[\n\left(\begin{array}{ll}\n0 & 0 \\\nb & 1\n\end{array}\right) \cdot\left(\begin{array}{ll}\n0 & 0 \\\nb & 1\n\end{array}\right)=\left(\begin{array}{ll}\n0 & 0 \\\nb & 1\n\end{array}\right), \forall b \in \mathbf{R}, \operatorname{deci}\left(\begin{array}{ll}\n0 & 0 \\\nb & 1\n\end{array}\right) \in \mathrm{U}\n\]","Fie \(B=a I_{2}+b A=\\left(\\begin{array}{cc}a & b i \\\\ b i & a\\end{array}\\right)\).\n\n\(A B=\\left(\\begin{array}{ll}0 & i \\\\ i & 0\\end{array}\\right)\\left(\\begin{array}{cc}a & b i \\\\ b i & a\\end{array}\\right)=\\left(\\begin{array}{cc}-b & a i \\\\ a i & -b\\end{array}\\right)\).\n\n\(B A=\\left(\\begin{array}{cc}a & b i \\\\ b i & a\\end{array}\\right)\\left(\\begin{array}{cc}0 & i \\\\ i & 0\\end{array}\\right)=\\left(\\begin{array}{cc}-b & a i \\\\ a i & -b\\end{array}\\right)\).\n\nAtunci \(A B=B A\),deci \(a I_{2}+b A \\in G\)..",0,Other
21,Abstract Algebra,"Se consideră mulțimea \(M=\left\\{\left.A_{x}=\left(\begin{array}{ll}1 & x \\ 0 & 1\end{array}\right) \right\\rvert\, x \in \mathbf{Z}\right\\}\) și funcția \(f: M \rightarrow \mathbf{Z}, f\left(A_{x}\right)=x\). Să se arate că \(\forall A_{x} \in M\) există \(A_{a} \in M\) pentru care \(A_{x} \cdot A_{a}=A_{e}\).","Egalitatea \(A_{x} \cdot A_{a}=A_{e}\) revine la \(x+a=0\), deci \(a=-x\). Atunci \(A_{a}=\left(\begin{array}{cc}1 & -x \\ 0 & 1\end{array}\right) \in M\).","Egalitatea \(A_{x} \cdot A_{a}=A_{e}\) revine la \(x+a=0\), deci \(a=+x\). Atunci \(A_{a}=\left(\begin{array}{cc}1 & +x \\ 0 & 1\end{array}\right) \in M\).",0,Manipulate
22,Calculus,"Se consideră funcția \(f:(0, \infty) \rightarrow(0, \infty), \quad f(x)=\ln (x+1)-\ln x\). Să se arate că funcția \(f\) este convexă pe intervalul \((0, \infty)\).","\(f^{\prime \prime}(x)>0, \forall x>0\), deci funcția \(f\) este convexă pe \((0, \infty)\)","\(f^{\prime \prime}(x)>=0, \forall x>=0\), deci funcția \(f\) este convexă pe \((0, \infty)\)",0,Manipulate
23,Linear Algebra,"Se consideră matricele \(O_{2}=\left(\begin{array}{ll}0 & 0 \\ 0 & 0\end{array}\right), I_{2}=\left(\begin{array}{ll}1 & 0 \\ 0 & 1\end{array}\right)\) și mulțimile \(G=\left\{\left.\left(\begin{array}{cc}a & b \\ -b & a\end{array}\right) \right\rvert\, a, b \in \mathbf{Z}\right\}\) și \(G_{k}=\{A \in G \mid \operatorname{det}(A)=k\}, k \in \mathbf{N}\). Să se arate că \(G_{9} \neq \varnothing\).","Matricea \(A=\left(\begin{array}{ll}3 & 0 \\ 0 & 3\end{array}\right) \in G_{9}\), deci \(G_{9} \neq \varnothing\);",Fie \(B=\left(\begin{array}{cc}1 & 1 \\ 4 & -1\end{array}\right)\). Avem \(B^{2}=5 I_{2}\).,0,Other
24,Linear Algebra,"Se consideră matricele \(A=\left(\begin{array}{lll}1 & 2 & 3 \\ 2 & 4 & 6 \\ 3 & 6 & 9\end{array}\right), I_{3}=\left(\begin{array}{lll}1 & 0 & 0 \\ 0 & 1 & 0 \\ 0 & 0 & 1\end{array}\right)\) și \(J=\left(\begin{array}{lll}1 & 1 & 1 \\ 1 & 1 & 1 \\ 1 & 1 & 1\end{array}\right)\). Să se arate că există o matrice coloană \(C \in M_{3,1}(\mathbf{R})\) și o matrice linie \(L \in M_{1,3}(\mathbf{R})\), astfel ca \(A=C \cdot L\).","Fie \(\mathrm{C}=\left(\begin{array}{l}1 \\ 2 \\ 3\end{array}\right) \in M_{3,1}(\mathbf{R})\) si \(\mathrm{L}=\left(\begin{array}{lll}1 & 2 & 3\end{array}\right) \in M_{1,3}(\mathbf{R}) \Rightarrow C \cdot L=\left(\begin{array}{l}1 \\ 2 \\ 3\end{array}\right) \cdot\left(\begin{array}{lll}1 & 23\end{array}\right)=\left(\begin{array}{lll}1 & 2 & 3 \\ 2 & 4 & 6 \\ 3 & 6 & 9\end{array}\right)=A\)","\(\mathrm{C}=\left(\begin{array}{l}1 \\ 2 \\ 3\end{array}\right) \in M_{3,1}(\mathbf{R}); \mathrm{L}=\left(\begin{array}{lll}1 & 2 & 3\end{array}\right) \in M_{1,3}(\mathbf{R}) \Rightarrow C \cdot L=\left(\begin{array}{l}1 \\ 2 \\ 3\end{array}\right) \cdot\left(\begin{array}{lll}1 & 23\end{array}\right)=\left(\begin{array}{lll}1 & 2 & 3 \\ 2 & 4 & 6 \\ 3 & 6 & 9\end{array}\right)=A\)",1,Correct
25,Geometry,"Să se arate că punctele \(L(5,2), M(6,3)\) și \(N(7,4)\) sunt coliniare.","Punctele \(L, M, N\) sunt coliniare, deoarece \(\overrightarrow{L N}=2 \cdot \overrightarrow{L M}\)","Punctele \(L, M, N\) sunt coliniare, deoarece \(\overrightarrow{L N}=2 \cdot \overrightarrow{L M}\)",1,Correct
26,Linear Algebra,"Se consideră mulțimea \(M\) formată din toate matricele cu 3 linii și 3 coloane și care au toate elementele din mulțimea \(\{1,3,5\}\). Să se găsească două matrice \(P, Q \in M\), astfel încât \(\operatorname{rang}(P)=1\) și \(\operatorname{rang}(Q)=2\).","De exemplu, dacă \(P=\left(\begin{array}{lll}1 & 1 & 1 \\ 1 & 1 & 1 \\ 1 & 1 & 1\end{array}\right)\) și \(Q=\left(\begin{array}{lll}1 & 1 & 1 \\ 1 & 3 & 1 \\ 1 & 1 & 1\end{array}\right), \operatorname{rang}(P)=1\) și \(\operatorname{rang}(Q)=2\).","Avem \(A B=\left(\begin{array}{rrr}1 & 0 & 0 \\ 0 & 4 & -7 \\ 0 & -1 & 2\end{array}\right)\) și \(B A=\left(\begin{array}{lll}1 & 0 & 0 \\ 0 & 2 & 7 \\ 0 & 1 & 4\end{array}\right)\), așadar \(A B \\neq B A\).",0,Other
27,Calculus,"Se consideră funcția \(f:(0, \infty) \\rightarrow \mathbf{R}, f(x)=\frac{1}{x}-\frac{1}{x^{2}}+\frac{1}{x^{3}}\). Să se determine ecuațiile asimptotelor la graficul funcției \(f\).","\(y=0\) este asimptotă orizontală spre \(\infty, x=0\) este asimptotă verticală la drepta.","\(y=-0\) este asimptotă orizontală spre \(\infty, x=-0\) este asimptotă verticală la drepta.",0,Manipulate
